Nom,Genre,Épisodes,Date de Diffusion,Score,Rank,Téléspectateurs,Acteurs,Date Debut,Date Fin
Joy of Life Season 2 (2024),"Comedy, Romance, Wuxia, Fantasy",36.0,"May 16, 2024 - May 30, 2024",9.0,64.0,"12,002","Zhang Ruo Yun, Wu Gang, Li Qin, Chen Dao Ming, Tian Yu, Song Yi","May 16, 2024","May 30, 2024"
The Spirealm (2024),"Mystery, Horror, Comedy, Fantasy",78.0,"Feb 2, 2024",8.9,90.0,"12,781","Xia Zhi Guang, Huang Jun Jie, Liu Ruo Gu, Liu Xiao Bei, Lu Meng Lin, Yan Zi Xian","Feb 2, 2024",
The Double (2024),"Historical, Mystery",40.0,"Jun 2, 2024 - Jun 22, 2024",8.8,132.0,"28,934","Wu Jin Yan, Wang Xing Yue, Chen Xin Hai, Liang Yong Qi, Li Meng, Joe Chen","Jun 2, 2024","Jun 22, 2024"
Blossom (2024),"Historical, Mystery, Romance, Fantasy",34.0,"Dec 6, 2024 - Dec 22, 2024",8.8,147.0,"18,461","Meng Zi Yi, Li Yun Rui, Snow Kong, Xia Zhi Guang, Alina Zhang, Yan An","Dec 6, 2024","Dec 22, 2024"
Guardians of the Dafeng (2024),"Comedy, Romance, Wuxia, Fantasy",40.0,"Dec 28, 2024 - Jan 18, 2025",8.7,209.0,"14,169","Dylan Wang, Tian Xi Wei, Liu Yi Jun, Yan Zi Dong, Wang Run Ze, Yan Pei Lun","Dec 28, 2024","Jan 18, 2025"
To the Wonder (2024),"Romance, Life, Family",8.0,"May 7, 2024 - May 10, 2024",8.7,232.0,"4,157","Ma Yi Li, Zhou Yi Ran, Yu Shi, Jiang Qi Ming, Alimujiang, Alima Mayutian","May 7, 2024","May 10, 2024"
Blossoms in Adversity (2024),"Historical, Business, Romance",40.0,"Apr 2, 2024 - Apr 25, 2024",8.7,249.0,"17,562","Zhang Jing Yi, Hu Yi Tian, Caesar Wu, Lu Yu Xiao, Bian Cheng, Myolie Wu","Apr 2, 2024","Apr 25, 2024"
The Legend of Shen Li (2024),"Romance, Wuxia, Drama, Fantasy",39.0,"Mar 18, 2024 - Apr 5, 2024",8.7,253.0,"19,585","Zhao Li Ying, Lin Geng Xin, Xin Yun Lai, He Yu, Zeng Li, Wei Zi Xin","Mar 18, 2024","Apr 5, 2024"
Angels Fall Sometimes (2024),"Romance, Life, Melodrama",24.0,"Mar 9, 2024 - Mar 19, 2024",8.7,281.0,"8,998","Lin Yi, Landy Li, Sun Tian Yu, Li Xin Ran, Lin Lu, Wang You Jun","Mar 9, 2024","Mar 19, 2024"
Fangs of Fortune (2024),"Mystery, Romance, Wuxia, Fantasy",34.0,"Oct 26, 2024 - Nov 16, 2024",8.6,345.0,"18,338","Neo Hou, Chen Du Ling, Tian Jia Rui, Cheng Xiao, Lester Lin, Xu Zhen Xuan","Oct 26, 2024","Nov 16, 2024"
Amidst a Snowstorm of Love (2024),"Romance, Sports",30.0,"Feb 2, 2024 - Feb 14, 2024",8.5,493.0,"32,275","Leo Wu, Zhao Jin Mai, Wang Xing Yue, Ding Xiao Ying, Chen Jing Ke, Dong Zi Fan","Feb 2, 2024","Feb 14, 2024"
Love Game in Eastern Fantasy (2024),"Romance, Wuxia, Fantasy",32.0,"Nov 1, 2024 - Nov 17, 2024",8.5,512.0,"23,876","Esther Yu, Ding Yu Xi, Zhu Xu Dan, Yang Shi Ze, Gillian Chung, Xu Hai Qiao","Nov 1, 2024","Nov 17, 2024"
Are You the One (2024),"Historical, Romance, Drama",40.0,"Aug 12, 2024 - Sep 1, 2024",8.5,567.0,"13,875","Zhang Wan Yi, Wang Chu Ran, Chang Hua Sen, Liu Ling Zi, Zhang Chi, Yuan Yu Xuan","Aug 12, 2024","Sep 1, 2024"
Strange Tales of Tang Dynasty II To the West (2024),"Thriller, Mystery, Horror, Wuxia",40.0,"Jul 18, 2024 - Aug 2, 2024",8.5,634.0,"2,074","Yang Xu Wen, Yang Zhi Gang, Gao Si Wen, Chen Chuang, Sun Xue Ning, Liu Zhi Yang","Jul 18, 2024","Aug 2, 2024"
War of Faith (2024),"Action, Historical, Drama, Political",38.0,"Mar 21, 2024 - Apr 7, 2024",8.4,733.0,"4,316","Wang Yi Bo, Li Qin, Wang Yang, Zhang Tian Yang, Wang Xue Qi, Song Shuai","Mar 21, 2024","Apr 7, 2024"
Will Love in Spring (2024),"Romance, Life, Drama, Family",21.0,"Apr 22, 2024 - Apr 30, 2024",8.4,767.0,"16,540","Li Xian, Zhou Yu Tong, Wu Jun Ting, Zhang Xi Wei, Liu Lin, Fang Fang","Apr 22, 2024","Apr 30, 2024"
Dashing Youth (2024),"Wuxia, Youth, Fantasy",40.0,"Jul 19, 2024 - Aug 14, 2024",8.4,810.0,"10,438","Neo Hou, He Yu, Hu Lian Xin, Xia Zhi Guang, Jiang Zhen Yu, Zhang Chen Xiao","Jul 19, 2024","Aug 14, 2024"
The Rise of Ning (2024),"Historical, Romance, Drama",40.0,"Oct 10, 2024 - Oct 29, 2024",8.4,808.0,"9,158","Zhang Wan Yi, Ren Min, Ci Sha, Nine Kornchid Boonsathitpakdee, Wu Yu Heng, Hu Jia Xin","Oct 10, 2024","Oct 29, 2024"
Under the Skin Season 2 (2024),"Thriller, Mystery, Drama",28.0,"Dec 10, 2024 - Dec 25, 2024",8.4,847.0,"4,758","Tan Jian Ci, Jin Shi Jia, Baby Zhang, Zhu Jia Qi, Lu Yan Qi, Qin Hai Lu","Dec 10, 2024","Dec 25, 2024"
Live Surgery Room (2024),"Mystery, Drama, Medical",28.0,"Apr 6, 2024 - Apr 19, 2024",8.3,1045.0,"2,968","Vin Zhang, Dai Xu, Liu Min Tao, Zhao Zhi Wei, Yang Yu Tong, Liu Guan Cheng","Apr 6, 2024","Apr 19, 2024"
Palms on Love (2024),"Historical, Romance",24.0,"Feb 23, 2024 - Mar 4, 2024",7.3,8061.0,"1,964","Li Ruo Tian, Wang Yun Han, Qi Hang, Zhu Xin Yuan, Zhao Hai Yu Ning, Li Yi Chen","Feb 23, 2024","Mar 4, 2024"
When We Meet Again (2024),"Historical, Romance, Fantasy",24.0,"Feb 25, 2024 - Mar 2, 2024",7.3,7927.0,637,"Wu Ji Feng, Yang Teng, Chen Wai, Liu Shan, Wei Yuan","Feb 25, 2024","Mar 2, 2024"
